ticket_id,product,category,issue_description,resolution_notes,priority,status,channel,region,subscription_type,customer_tenure_months,previous_tickets,customer_satisfaction_score,first_response_time_hours,resolution_time_hours,ticket_created_date,ticket_resolved_date,escalated,sla_breached,language,issue_complexity_score,customer_segment,customer_id,order_value
1,Web Portal,Account Suspension,The payment was deducted from my bank account but the transaction shows failed.,Data synchronization restored after backend service restart.,Urgent,Open,Email,North America,Free,36,6,5,30.5,108.36,2023-05-17,2023-05-20,False,True,French,4,Small Business,e574c714cc9e,193.52
2,Mobile App,Performance Issue,I found a bug in the latest update affecting report generation.,Provided step-by-step troubleshooting instructions and issue resolved.,Urgent,Closed,Email,South America,Premium,54,20,5,63.81,87.43,2024-01-06,2024-01-19,True,True,English,2,Small Business,cefe0a1c18b5,475.85
3,Web Portal,Performance Issue,The application crashes whenever I try to upload a file.,Provided step-by-step troubleshooting instructions and issue resolved.,Medium,Closed,Chat,Europe,Premium,60,20,5,16.2,78.5,2022-11-30,2022-12-05,True,True,French,4,Corporate,05e2a2866140,368.68
4,Payment Gateway,Subscription Cancellation,My subscription was cancelled without my request and I need clarification.,Provided step-by-step troubleshooting instructions and issue resolved.,Medium,Closed,Social Media,Asia,Enterprise,58,18,4,26.38,239.36,2024-03-21,2024-04-04,True,False,Spanish,7,Corporate,4d5f24175186,303.34
5,Web Portal,Feature Request,The system is not syncing data across devices properly.,We have reset the account credentials and advised the customer to retry login.,High,Pending Customer,Email,Asia,Enterprise,1,8,5,54.98,122.34,2024-08-16,2024-08-24,True,False,Spanish,3,Corporate,fc9938be2e71,86.45
6,Subscription Service,Payment Problem,There seems to be a discrepancy in my billing statement for this month.,Provided step-by-step troubleshooting instructions and issue resolved.,Low,In Progress,Social Media,North America,Enterprise,53,2,5,55.26,31.69,2024-09-27,2024-09-27,False,True,German,9,Corporate,52db3a652ec6,86.44
7,Subscription Service,Security Concern,I would like to request a refund for the recent charge.,The duplicate charge was reversed and refund processed within 3-5 business days.,Medium,Open,Phone,North America,Basic,38,7,1,5.58,151.83,2024-02-04,2024-02-11,True,True,Chinese,5,Corporate,a005a74e017f,38.46
8,Web Portal,Subscription Cancellation,Two-factor authentication codes are not being delivered to my phone.,Subscription status corrected and confirmation email sent to customer.,Low,Resolved,Phone,South America,Free,44,20,1,4.83,175.04,2024-08-26,2024-08-29,True,True,German,7,Individual,1f01b0fda51a,434.43
9,API Service,Security Concern,The payment was deducted from my bank account but the transaction shows failed.,We have reset the account credentials and advised the customer to retry login.,Low,Open,Chat,Europe,Enterprise,14,12,1,12.27,1.52,2024-06-26,2024-07-08,False,False,Japanese,3,Individual,bb4351379aa7,304.55
10,Billing System,Performance Issue,I am unable to access my account after entering the correct credentials.,We have reset the account credentials and advised the customer to retry login.,Urgent,Closed,Social Media,Europe,Free,55,5,1,43.05,162.38,2022-05-05,2022-05-16,True,False,Chinese,10,Individual,d5f8534690f7,356.96
11,Subscription Service,Feature Request,The application crashes whenever I try to upload a file.,Security settings updated and customer notified of precautionary measures.,High,Resolved,Chat,Africa,Enterprise,21,2,1,33.27,239.63,2023-10-10,2023-10-24,True,True,French,6,Individual,68b66b58548f,20.09
12,API Service,Security Concern,I am experiencing very slow performance while using the dashboard.,Explained billing breakdown and clarified applicable charges.,Low,Closed,Phone,Africa,Premium,8,3,5,11.61,68.34,2024-06-16,2024-06-29,True,False,German,1,Individual,bd4372396e87,485.26
13,Cloud Storage,Account Suspension,I am experiencing very slow performance while using the dashboard.,The issue was escalated to engineering and resolved in the latest patch.,Urgent,Closed,Email,North America,Basic,35,1,3,42.15,36.39,2023-11-15,2023-11-27,True,True,French,4,Corporate,ddffa4cc2a21,417.9
14,Payment Gateway,Account Suspension,The application crashes whenever I try to upload a file.,The issue was escalated to engineering and resolved in the latest patch.,Urgent,Open,Chat,Africa,Basic,18,5,1,27.85,10.26,2024-04-12,2024-04-21,False,True,French,4,Individual,e2937abe8245,114.05
15,E-commerce Store,Feature Request,There seems to be a discrepancy in my billing statement for this month.,Data synchronization restored after backend service restart.,High,Open,Email,Asia,Premium,3,3,5,31.57,175.12,2022-05-23,2022-06-04,False,False,German,5,Individual,1fe2c71c6533,99.09
16,Billing System,Refund Request,The payment was deducted from my bank account but the transaction shows failed.,Security settings updated and customer notified of precautionary measures.,High,Open,Phone,Australia,Enterprise,21,12,3,40.14,46.85,2023-02-08,2023-02-13,False,True,German,5,Small Business,052381c524e5,99.87
17,API Service,Subscription Cancellation,I would like to request a refund for the recent charge.,Subscription status corrected and confirmation email sent to customer.,Urgent,In Progress,Email,Asia,Premium,6,7,3,16.56,48.59,2023-10-22,2023-10-29,True,True,English,7,Corporate,7d92a81ea4c3,159.08
18,Mobile App,Refund Request,The application crashes whenever I try to upload a file.,The issue was escalated to engineering and resolved in the latest patch.,Low,Resolved,Chat,Europe,Enterprise,4,17,2,66.1,30.0,2024-02-26,2024-03-04,True,False,French,10,Corporate,ca4c23fd6367,267.13
